person_id,title,firm,location
34,SQL Database Administrator,Wing Zone,"Hyattsville, MD"
34,SQL DBA,Azizi Bank,
35,PROJECT MANAGER,Romisoft,"Seattle, WA"
35,PROJECT MANAGER,Scotsman Guide Media,"Bothell, WA"
35,ASSOCIATE SCRUM MASTER,Premera Blue Cross,"Seattle, WA"
35,DATABASE ADMINISTRATOR,Premera Blue Cross,"Seattle, WA"
35,DATABASE ADMINISTRATOR,Realty in Motion,"Bellevue, WA"
36,Database Administrator,Amdocs DVCI,"South Plainfield, NJ"
36,Database Administrator,Pansoft Data Solutions Pvt. Ltd,
37,SQL Database Administrator,AGO GLOBAL CONSULTING,"Columbia, MD"
37,SQL Database Administrator,InfoView Data Solution Inc,"Highland, MD"
37,SQL Database Administrator,ISHGLO - One - Corp,"Frederick, MD"
38,Sr. Business Analyst,Wells Fargo,"New Jersey, Jersey City, NJ"
38,Sr. Business Analyst,"Federal Mogul, Bold chat","Atlanta, GA"
38,Business Analyst,Chrysler,"Detroit, MI"
38,Business Analyst,Dollar General,"New York, NY"
38,Sr database administrator,"Miller Coors, Irvin oil","New York, NY"
38,Database administrator,Avis Budget Car Rental,"Houston, TX"
39,Oracle Database Administrator,Vectren,"Evansville, IN"
39,Oracle DBA,Admiral Insurance Company,"Austin, TX"
40,Oracle Database Administrator,Vectren,"Evansville, IN"
40,Oracle DBA,Admiral Insurance Company,"Austin, TX"
41,SQL Server Database Administrator,Comcast Cable,"Baltimore, MD"
41,SQL Server DBA,Charter Communications,"Charlotte, NC"
41,SQL Database Administrator,Cisco Systems,"Lagos, NG"
42,Database Administrator,Service Source Inc,"Oakton, VA"
42,Senior Quality Monitor,GDIT,"Alexandria, VA"
43,SQL Server DBA,"Aureus Tech Systems, LLC","Temple, TX"
43,SQL Server DBA,Aureus Group,"Omaha, NE"
43,SQL Server DBA,Citadel Information Services Inc,"Iselin, NJ"
43,Database Administrator,NETE,"Rockville, MD"
43,Database Administrator,Karsun Solutions LLC,"Herndon, VA"
44,Business Intelligence Database Administrator,American Family Insurance,"Waterloo, WI"
45,COOK,SOUTHERN HILLS COUNTRY CLUB,"Tulsa, OK"
45,COOK,REASORS,
45,DATABASE ADMINISTRATOR,UNITED STATES MARINE CORPS,
45,AIRFRAME MECHANIC,UNITED STATES MARINE CORPS,
46,DATABASE AND SYSADMIN CONSULTANT,US Airforce,"San Antonio, TX"
46,DATABASE ADMIN,US Airforce,"San Antonio, TX"
46,SQL DBA,Wurth,"Billings, MT"
46,Oracle/SQL Database Administrator,"USS BATAAN, US NAVY","Norfolk, VA"
47,Senior Database Administrator,AppLab Systems Inc,"Edison, NJ"
47,Senior Database Administrator,Infinite Computer Solutions,"Edison, NJ"
48,Oracle Database Administrator,Jelani Consulting LLC,"Washington, DC"
48,Project Manager (National TB Project),Somali Health Initiative for All Trust,
48,Technical Adviser,Republic of Somaliland Ministry of Health,
48,Oracle Database Administrator,Jelani Consulting LLC,"Reston, VA"
48,Junior Oracle Database Administrator,Jelani Consulting LLC,"Glen Allen, VA"
49,SQL Server Database Administrator,PenFed Credit Union,"Chantilly, VA"
49,SQL Server Database Administrator,"Dep of Health and Human Services, MD",
49,MS SQL Database Administrator,"Department of Labour - Washington, DC",
50,SQL Server Database Administrator,PricewaterhouseCoopers,"Tampa, FL"
50,Sr.SQL Server Database Administrator,Deloitte,"Harrisburg, PA"
50,SQL Server Database Administrator,Unisys,"Reston, VA"
50,SQL Server Database Administrator,McKesson,"San Francisco, CA"
50,SQL Server Database Administrator,The Boeing Company,"Milford, OH"
51,Sr.SQL Server Database Administrator,Cox Enterprises,"Atlanta, GA"
51,SQL Server Database Administrator,Deloitte,"Harrisburg, PA"
