person_id,title,firm,location
6954,"Senior Financial Analyst, IT",WALGREENS BOOTS ALLIANCE,"Deerfield, IL"
6954,Government Services Consultant and Project Manager,"BRONNER GROUP, LLC","Chicago, IL"
6954,"Intern, Office of Diversity, Equity, and Access",ACADEMIC LEADERSHIP & ACHIEVEMENT,"Urbana, IL"
6954,"Family Services Specialist, Head Start, Early Childhood",EVANSTON/ SKOKIE SCHOOL DISTRICT,"Evanston, IL"
6955,Digital Experience Project Manager,Aurora Health Care,"Oak Creek, WI"
6955,Client Technical Support Representative,Fiserv,
6955,Project Assistant,Northwestern Mutual,
6955,Desktop Support Assistant,Alverno College,
6955,Briggs & Stratton Corporate Innovation Challenge Team Member,The Commons - Wisconsin,
6955,Tech Scholar,Alverno College,
6955,Project Management Intern,Alverno College,
6955,IT and Web Management Intern,Metropolitan Milwaukee Association of Commerce,
6955,Computer Center Lab Assistant,Alverno College,
6956,"IT Project Manager / Consultant, Classified Programs",Draper,"Cambridge, MA"
6956,"IT Project Manager / Consultant, Data Management",Medtronic,"Mansfield, MA"
6956,"IT Project Manager / Consultant, Marketing Technology",Biogen,"Cambridge, MA"
6956,"Senior Project Manager, Integrated Solutions Marketing",UBM Tech,"Framingham, MA"
6957,Identity and Access Management Project Manager,Simeio Solutions,"Birmingham, AL"
6957,IT Project Manager (Contractor),BBVA Compass Bank,"Birmingham, AL"
6957,Business Development Manager,Lakeland Marketing,"Birmingham, AL"
6957,IT Operations Manager,Texas AirSystems,"Dallas, TX"
6958,Senior IT - Project Manager,United Natural Foods + SUPERVALU,"Cranston, RI"
6958,Senior IT Project Manager,First Group Global Konica Minolta,
6958,Projects Manager,"National Health Service, UK",
6958,Head of IT Service Delivery,Tameside Hospital,UK
6958,Project Manager/Service Introduction Transition,National Health Service,UK
6958,East Technical Project Manager Service Delivery,National Health Service,"Macclesfield, UK"
6958,Senior Project Coordinator,AstraZeneca (Cognizant),
6958,Project Manager/3rd Line Support Lead,Department of Work and Pensions,
6958,Senior Project Integration Support Manager,Cable & Wireless,
6958,Senior Support Team Leader,AstraZeneca (Cognizant),
6959,Fraud Prevention Investigator,First National Bank of Omaha,"Richmond, TX"
6959,Customer Service Representative,U.S. Foods Incorporated,
6959,Senior Sales Executive,Blue Cross Blue Shield of Nebraska,"Omaha, NE"
6959,Sales Executive Trainee,Blue Cross Blue Shield of Nebraska,"Omaha, NE"
6959,Business Relationship Manager,Blue Cross Blue Shield of Nebraska,"Omaha, NE"
6959,IT Project Manager II,Blue Cross Blue Shield of Nebraska,"Omaha, NE"
6959,IT Project Leader/ Manager,Blue Cross Blue Shield of Nebraska,"Omaha, NE"
6960,Consulting Systems Engineer,NetGain Technologies,"Lexington, KY"
6960,2nd Tier Tactical Response Engineer,NetGain Technologies,"Lexington, KY"
6960,1st Tier Tactical Response Engineer,NetGain Technologies,"Lexington, KY"
6960,Remote Systems Engineer,NetGain Technologies,"Lexington, KY"
6960,Independent SEO and Content Consultant,Self Employed,
6960,Computer Science Adjunct Instructor,MedTech,
6960,I.T. Administrator/ Project Manager,"Birtley Industrial Equipment Corporation, LLC",
6960,I.T. Consultant and Executive Coordinator,World Trade Center of Kentucky,
6961,Project/Engagement Manager,ESSENTRA,"Charlotte, NC"
6961,IT Business Analyst,ESSENTRA,"Charlotte, NC"
6961,Sales Specialist,ESSENTRA,"Chicago, IL"
6961,Director of Business Development,FOBESOFT,"Jacksonville, FL"
6961,Manager,BROOKLYN BAGEL COMPANY,"Tallahassee, FL"
6961,Communications Consultant,FPEA,"Melbourne, FL"
6962,"Senior Global IT Infrastructure PM – Golden Technology, Inc. Consultant","Smith and Nephew, Inc.","Memphis, TN"
6962,Project Manager/Scrum Master,ServiceMaster,"Memphis, TN"
6962,"PCI Security Project Analyst, Information Security",FedEx Corporation,"Collierville, TN"
6962,Enterprise IT Architect & Capacity Planner,FedEx Corporation,"Collierville, TN"
6962,Finance Chairman,Faith United Methodist Church,"Oakland, TN"
6962,"IT Infrastructure, Project Manager",ServiceMaster,"Memphis, TN"
6963,Software Developer,Self Employed,"Miami, FL"
6963,Program Consultant,Data Management,"Miami, FL"
6963,IT Help Desk,Gulf Coast State College,"Panama City, FL"
6963,IT Project Manager,Sikes Concrete Inc,"Southport, FL"
6964,IT Project Manager - Managed Network Services,Infosys Public Services,"Springfield, VA"
6964,IT Project Coordinator,Infosys Public Services,
6964,Network and Security Operation - Lead Security and Voice,Infosys Public Services,
6964,IT Infrastructure - Team Lead,Privia Health,
6964,IT Infrastructure Engineer,Privia Health,
6964,Operations Engineer,Fairfax Family Practice Centers,
6965,Building Shift Manager,United Parcel Service,"San Bernardino, CA"
6965,Front Desk / Executive Concierge,Holiday Inn Express,"San Bernardino, CA"
6965,Executive Concierge,Hilton Worldwide,"El Segundo, CA"
6965,Operations Manager & Test Lead,Nabi Tablet,"El Segundo, CA"
6965,Sales Team Leader,Lacoste,"Beverly Hills, CA"
6965,Commissioned Video Game Software,Activision,"El Segundo, CA"
6965,Videographer / Editor / Team Manager,Santa Monica College Athletics,"Santa Monica, CA"
6965,Heavy Equipment Operator,Paper Source,"Vernon, CA"
6965,Project Lead,Treyarch,"Santa Monica, CA"
6965,Community Organizer & Fundraiser,Muscular Dystrophy Association,"Long Beach, CA"
6965,Concept Car Rep & Survey Interviewer,Research Design Specialists,"Cypress, CA"
6965,IT & Software Engineer,Electronic Arts,"Playa Vista, CA"
6965,Sr. Game Advisor,GameStop,"Bell Gardens, CA"
6966,Technical Engineer/Support Manager,Mersive Technologies Inc,"Denver, CO"
6966,Technical Project Manager,MetLife,
6966,"Information Technology Admin, Database Manager",Kalisher,
6966,Technical Support Specialist,HCL Technologies,
6966,Technical Support Engineer,Citrix Systems,
6966,IT Administrator,Aquacity Inc,
6967,Field Tech,ELPRO,"Marietta, OH"
6967,Field Engineer (Mobile Device Manager),MARIETTA MEMORIAL HOSPITAL,"Marietta, OH"
6967,Help Desk Analyst,HEWLETT PACKARD ENTERPRISE,"Charleston, WV"
6967,IT Consulting Projects,Various,"Ohio, West Virginia, US"
6967,Desktop & Network Specialist,TATA Business Support Services,"Reno, OH"
6967,PC Tech,LOGAN CORPORATION,"Huntington, WV"
6968,IT Director/ Technical Project Manager,Medical Security Card Company,"Tucson, AZ"
6968,"Director of PMO, Web Analyst",Ebiquity North America,"Chicago, IL"
6968,Web Analyst/ Project Manager,EY Society Consulting,"Seattle, WA"
6968,Business Management Consultant,Kyle Westgate Consulting,"Seattle, WA"
6969,Cybersecurity Consultant,"Albers Technical Investments, Inc","Houston, TX"
6969,Borehole Enlargement Field Service Supervisor,National Oilwell Varco (NOV),"Houston, TX"
6969,IT Security Manager,Bengal Supply,"Houston, TX"
6969,Software Project Leader,National Oilwell Varco (NOV),"Houston, TX"
6969,Drilling Solutions Engineer,National Oilwell Varco (NOV),"Houston, TX"
6969,Lead LWD Field Engineer,Weatherford International,"Houston, TX"
6970,Housing and Facilities Assistant,Gamma Phi Beta,"Centennial, CO"
6970,Housing and Facilities Financial Services Assistant,Gamma Phi Beta,"Centennial, CO"
6970,IT Project Coordinator,Centura Health,"Englewood, CO"
6970,Associate Manager,The Limited,"Denver, CO"
6970,Sales Associate,The Limited,"Denver, CO"
6970,Barista,Starbucks,"Denver, CO"
6970,Retail/Wine Tasting Associate & Event Coordinator,Walker Honey Farm,"Rogers, TX"
6970,Study Abroad Student Ambassador,Christopher Newport University,"Newport News, VA"
6970,Assistant Event Staff Coordinator,Christopher Newport University,"Newport News, VA"
6970,Intern for NCAA Final Four Women's Volleyball Tournament,Christopher Newport University,"Newport News, VA"
6970,David Student Union Event Staff Coordinator,Christopher Newport University,"Newport News, VA"
6970,Volunteer Teaching Assistant,Ausbildungszentrum St. Josef,Salzburg
6970,Volunteer Cat Adoption Center Caretaker,Petco,"Newport News, VA"
6970,Intern Stylista Blogger,Sorority Stylista,"Newport News, VA"
6970,Stable Hand,Scattered Acres,"Catlett, VA"
6970,Event Staff,Live Nation Entertainment,"Bristow, VA"
6970,Child Caretaker,Martin Family Home,"Manassas, VA"
6971,Techical Support Analyst,Societe Generale,"New York, NY"
6971,Project Manager,Bundlecamp Inc (Gamechat),
6971,Project Manager,Pentius,
6971,Social Media Associate,Listenloop,
6971,IT Consultant,FDM,
6971,Data Analyst,HSBC,
6971,IT Consultant/Application Support Analyst,UBS,
6971,IT Temp,New York University,
6971,Computer Labs Operational Manager,Rochester Institute of Technology,
6972,End User Computing Senior Consultant,Presidio,"Edina, MN"
6972,IT Systems Management Consultant (contractor),"Optum via Apex Sytems, Inc","Plymouth, MN"
6972,IT Manager/Systems Administrator,Fortress Medical Systems,"Hopkins, MN"
6972,IT Project Coordinator,Digital River,"Minnetonka, MN"
6972,IT Services Specialist III,Minnesota Oncology,"Saint Paul, MN"
6972,Systems Administrator - Mobility,3M via Teksystems,"Saint Paul, MN"
6973,Owner and Photographer,Pat Beggan Photography,"Bellingham, WA"
6973,Staff Writer & Photographer,Ganjapreneur.com,
6973,Partner & Project Manager,Happy Chap Creative Co,
6973,Marketing Manager & IT Support,Bayou on Bay,"Bellingham, WA"
6973,"Line Cook, Kitchen Manager, GM",Bayou on Bay,"Bellingham, WA"
6973,"Line Cook, IT Support",The Fountain Bistro,"Bellingham, WA"
6974,Project Manager,Transact Technologies,"Norwalk, CT"
6974,Sr. IT Business Analyst,Starwood Hotels,
6974,IT Business Analyst,Affinion Group,
6974,IT Systems Analyst,Hewitt Associates (Now Hewitt-Aon),
6974,Financial Specialist,Wachovia Bank (Now Wells-Fargo),
6974,IT Project Manager,Bayer Corporation,
6974,Senior Programmer/Analyst,Reader's Digest Corp,
6974,Programmer/Analyst,James River Corp (Now Georgia-Pacific),
6975,Project Manager,"Pentwater Cabinetry, Inc","Lombard, IL"
6975,Marketing research analyst/Accountant,"Fortune Growers, Inc","Elgin, IL"
6975,Accountant/ IT Support-Data Processor,"Brentano, Inc","Wheeling, IL"
6975,Greeter,Seasons Marketplace,"Ames, IA"
6976,ETL Developer,VBA Software,"Germantown, MD"
6976,Business Systems Analyst (Consultant),Milwaukee Tools,"Milwaukee, WI"
6976,IT Project Coordinator,Nexgen Packaging LLC,"Cedarburg, WI"
6976,Building Manager,University of Wisconsin Parkside,"Kenosha, WI"
6976,Manager,Subway,"Racine, WI"
6976,Distribution Technician,Quad/Graphics,"Hartford, WI"
6977,Head of SEO & Growth,Rock The Rankings,"Carolina Shores, NC"
6977,Senior IT Project Manager,eKomi,"Berlin, DE"
6977,Freelance SEO & Digital Marketer,,
6977,Business Systems Analyst I & II,PNC Bank,Pittsburgh
6978,Technical Project Manager,Horizon Technology Group,"Miami, FL"
6978,Technical Support Analyst,"Global Engineering & Technology, Inc","Miami, FL"
6978,IT Service Desk Analyst,Goodyear Tire & Rubber Co,"Miami, FL"
6979,Director of Engagement Management,CDS Global,"Austin, TX"
6979,Advisory Strategist,Simplus,"Salt Lake City, UT"
6979,Enterprise Delivery Program Manager,"Advanced Technology Group, Inc","Overland Park, KS"
6979,DIRECTOR IT PMO,QC Holdings Inc,
6979,Enterprise Program Manager,Waddell & Reed,
6979,Deputy Program Manager PMO,USDA/FSA/PMO,
6979,Project Manager,JPMorgan,
6980,IT Project Manager,Health & Life Brokerage Inc,"Brooklyn Park, MN"
6980,"Escalation Specialist, Client Support Representative",Target Corp,"Brooklyn Park, MN"
6980,"Outbound Sales Account Manager, Sales Representative",Asset Marketing Services Inc,"Burnsville, MN"
6980,"Order Coordinator, Business Services Representative",Kemps LLC,"Saint Paul, MN"
6980,Customer Care Representative,RES-Direct LLC,"Bloomington, MN"
6980,"iPhone Team Manager, iPhone Tech Support Specialist",NCO Customer Management Inc,"Mendota Heights, MN"
6981,Clinician,Lindamood-Bell Learning Processes,"Washington, DC"
6981,"Sr. Project Manager, Enterprise PMO",Blue Cross Blue Shield Assoc,"Washington, DC"
6981,IT Project Manager,National Council for Behavioral Health,"Washington, DC"
6981,Project Manager,Edelman Financial Services,"Washington, DC"
6981,Business Analyst/ Project Manager,Folio Investing,"Washington, DC"
6982,Powertrain call center Warranty Administrator,Nissan North America via Kelly Services,"Murfreesboro, TN"
6982,Owner/Operator,Procare Auto service,"Norcross, GA"
6982,IT Project Manager,Atlanta auto brokers,"Duluth, GA"
6982,Line Technician,Asbury Automotive Group,"Decatur, GA"
6982,Automotive Technician,sears auto repair,"Tucker, GA"
6983,Project Manager/ Senior Data Center Engineer,BNY Mellon,"Raleigh, NC"
6983,Project Manager/ Data Center Technician,Pfizer Inc.,"Durham, NC"
6983,Network Operations Engineer,Verizon,"Cary, NC"
6983,IT Data Center Network Engineer,BB&T,"Zebulon, NC"
6983,Fiber Network Technician Supervisor,Mercury Z Corporation,"Morrisville, NC"
6983,Tier 2 Technical Analyst,SoftPro Inc,"Raleigh, NC"
6983,Technical Analyst,Blue Cross Blue Shield,"Oklahoma City, OK"
6983,Airborne Network Surveillance Technician,United States Air Force,"Tinker AFB, OK"
6984,IT SITE MANAGER,EPITEC/FORD,"Dearborn, MI"
6984,PROJECT MANAGER,EPITEC/FORD,"Dearborn, MI"
6984,SERVICE DESK ANALYST,STEFANNI,"Southfield, MI"
6985,IT Project Manager Intern,Maryland Nonprofits,"Baltimore, MD"
6985,IT Specialist,NPower Technology Service Corps,"Baltimore, MD"
6985,Environmental Services,Stella Maris Nursing Home,"Baltimore County, MD"
6986,IT Analyst,Tata Consultancy,
6986,Production Support Engineer (Systems Engineer),"DB-Internet, dbCoral and IDMS, Deutsche Bank AG",
6986,"Technology technical leads, project manager and Clients",Control M,
6986,Client Service Representative,,Rotterdam
6987,IT & Business Solutions Coordinator,Ted Baker,"Los Angeles, CA"
6987,Volunteer,Museum of Contemporary Art,"Chicago, IL"
6987,Accounting Associate,SMS Assist,"Chicago, IL"
6987,Photographer (Contract),Minted.com,"Los Angeles, CA"
6987,Assistant Project Manager,First Service Networks,"Lombard, IL"
6987,Marketing Consultant Intern,The Women's Exchange of Baltimore,"Baltimore, MD"
6987,E-commerce/Fashion Consignment Intern,The HAUTE Spot,"Chicago, IL"
6987,Gallery Assistant,Indigo Co,"Champaign, IL"
6988,"Lieutenant, Fraud Unit",NCDMV License and Theft Bureau,"Raleigh, NC"
6988,Senior State Law Enforcement Agent/ IT Project Manager,NCDMV,"Raleigh, NC"
6988,State Law Enforcement Agent/ Field Investigator,NCDMV,"Raleigh, NC"
6988,Police Officer First Class,Raleigh Police Department,"Raleigh, NC"
6989,Sr. IT Project Manager/ScrumMaster,Paul Hastings LLP,"Los Angeles, CA"
6989,Project Manager,DIRECTV,"El Segundo, CA"
6989,Digital Advanced Ad Product Project Manager,21st Century FOX,"Los Angeles, CA"
6989,Project Manager,"Calywire, Inc","Gardena, CA"
6989,Project Coordinator,Microsoft,"Los Angeles, CA"
6989,Project Manager for EDS Digital Media Project,DIRECTV,"El Segundo, CA"
6989,Project Coordinator,DIRECTV,"El Segundo, CA"
6989,Associate Business Analyst,Sony Pictures Entertainment,"Culver City, CA"
6990,IHT Project Technician,FLEXTECHS / Saint Luke's Hospital,"Boise, ID"
6990,Substitute IT User Support,Twin Rivers Unified School District,"Sacramento, CA"
6990,Detialer,Wise Auto Group,"Vacaville, CA"
6990,Tier 1 AppleCare Support,Volt Management Group,"Elk Grove, CA"
6990,Co-owner / Operations Manager,Avid Waste Removal,"Fair Oaks, CA"
6990,Systems Support Technician Assistant,Avid Waste Removal,"Rancho Cordova, CA"
6990,Forklift Operator,Pacific Supply,"Rancho Cordova, CA"
6990,Loader/Unloader,Lowe's,"Folsom, CA"
6991,Web Developer & Project Manager,Samy's Camera,"Los Angeles, CA"
6991,Senior Video Sales Associate / Instructor,Samy's Camera,"Culver City, CA"
6991,Senior Video Rental Associate,Samy's Camera,"San Francisco, CA"
6991,Apple ACMT Repair Tech/ IT Consultant,Rosai Consulting,"San Francisco, CA"
6992,IT Operations Project Manager,Future Tech Enterprise Inc,"Holbrook, NY"
6992,Systems Analyst / Project Manager / Consultant,Pite LLP,"Melville, NY"
6992,Project Analyst / Account Executive,National Securities Corporation,"New York, NY"
6992,Project Manager,Tecno Grupu,"Santo Domingo, DO"
6993,Project IT manager,Lolyhub.com,Riyadh
6993,Product Development Manager,SGN,Riyadh
6993,Business Development Specialist,CamelCloud,"Riyadh, SA"
6993,Business Development Representative,"ViWio, Inc","Los Angeles, CA"
6994,"Manager, IT Commercial Services and Enterprise",,"St. Louis, MO"
6994,"Technologist, Solution Engineering Commercial Services and Enterprise",,
6994,Contractor Solutions Engineering,Charter Communications,"St. Louis, MO"
6994,"Manager, Integration Team",Enterprise Holdings,"St. Louis, MO"
6994,Project Manager Rental Operations and Services,Enterprise Holdings,
6994,"Manager, BIS Service",KV PHARMACEUTICAL,"St. Louis, MO"
6995,Senior IT Project Manager (Teksystems Consultant),Lendlease,"Alpharetta, GA"
6995,"National Area Manager, Technology Planning & Engineering",AT&T,"Atlanta, GA"
6995,Principal Network Program Manager,Proxim Wireless Corporation,"San Jose, CA"
6995,Senior Network Program Manager,Proxim Wireless,"San Jose, CA"
6996,IT Business Analyst/System Administrator,General Motors,"Atlanta, GA"
6996,IT Project Manager,General Motors,"Atlanta, GA"
6996,Data Integrator,General Motors,"Atlanta, GA"
6997,I.T. Project Manager,Salute Inc,"San Antonio, TX"
6997,Site Manager,Zips Car Wash,"San Antonio, TX"
6997,Onsite Lawn Specialist,TruGreen Lawn Service,"Lewisville, TX"
6997,Clinic Manager,Immediadent Urgent Dental Clinic,"Dayton, OH"
6997,Respiratory Therapy Supervisor,United States Air Force,"San Antonio, TX, Dayton, OH"
6998,IT Manager,Dobbs Equipment,"Tampa, FL"
6998,IT/ Project Specialist,"Nortrax, Inc","Tampa, FL"
6998,IT Manager,"Boys & Girls Clubs of Tampa Bay, Inc","Tampa, FL"
6999,IT Manager,"Avenue Stores, LLC","Rochelle Park, NJ"
6999,Project Manager,"Brooks Fashions, Inc","New York, NY"
7000,IT Project Manager,TRANSAMERICA,"Medford, MA"
7000,IT Project Manager,MERCER,"Medford, MA"
7001,IT Project Manager,U.S. Air Force,"Tucson, AZ"
7002,IT Project Manager,King County Information Technology (KCIT),"Kent, WA"
7002,IT Project Manager,Seattle Public Schools,
7002,IT Project Manager,City of Tacoma,
7002,IT Project Manager,IRON MOUNTAIN,
7002,IT Project Manager,NORDSTROM INC,
7002,IT Project Manager,KENT SCHOOL DISTRICT,
7003,IT Manager/ Project Manager,IBM,"Madrid, Madrid provincia"
7003,IT Manager/ Project Manager,Aurigae S.A.,"Madrid, Madrid provincia"
7003,IT Manager,Gilmar Investments LTD,Havana
7004,IT Project Manager,Seattle Public Schools,"Seattle, WA"
7004,IT Project Manager,City of Tacoma,"Tacoma, WA"
7004,IT Project Manager,IRON MOUNTAIN,
7004,IT Project Manager,NORDSTROM INC,
7004,IT Project Manager,KENT SCHOOL DISTRICT,
7004,Business Analyst,KENT SCHOOL DISTRICT,
7004,Systems Analyst,KENT SCHOOL DISTRICT,
7004,Sr. Programmer/Analyst,KENT SCHOOL DISTRICT,
7005,Sr. IT Project Manager,Entergy,"Houston, TX"
7006,IT Project Manager,Newport News Shipbuilding,"Newport News, VA"
7006,IT Infrastructure Project / Program Manager,Anthem,"Richmond, VA"
7006,IT Infrastructure Project Manager,TCS / Federal Reserve Bank,"Richmond, VA"
7006,IT Infrastructure Project Manager,Owens & Minior Inc,"Richmond, VA"
7006,IT Project Manager,ePlus Inc,"Richmond, VA"
7006,IT Project Manager,ChildFund International,"Richmond, VA"
7006,IT Project Manager,Northrop Grumman,"Richmond, VA"
7006,IT Project Manager,Capital One,"Richmond, VA"
7006,IT Project Manager,Performance Food Group,"Richmond, VA"
7006,IT Project Engineer,Nextel Communications,"Reston, VA"
7006,IT Project Manager,Nextel Communications,"Reston, VA"
7007,IT Analyst / Project Manager,"CISCO SYSTEMS, INC","Raleigh, NC"
7007,IT Analyst,"CISCO SYSTEMS, INC","Raleigh, NC"
7007,MANUFACTURING ANALYST,CHRYSLER GROUP LLC,"Auburn Hills, MI"
7008,Project Manager,Ace One Technologies,"Jonesboro, AR"
7008,IT Project Manager,"engines, inc","Jonesboro, AR"
7009,PMO ASSOCIATE ANALYST,DYCOM INC,"Palm Beach Gardens, FL"
7009,IT PROJECT MANAGER,HEARUSAX LTD,"Palm Beach Gardens, FL"
7009,IT PROJECT MANAGER,CONTINENTAL PROPERTIES,"West Palm Beach, FL"
7009,IT PROJECT MANAGER,FIRESTONE,
7009,IT PROJECT COORDINATOR,NEXTEL,"Maitland, FL"
7010,IT SDLC Project Manager,NCI Buildings,"Houston, TX"
7010,IT SDLC Project Manager,Conn's Homeplus,"The Woodlands, TX"
7010,IT SDLC Program Manager,Plains All American - PMO,"Houston, TX"
7010,IT SDLC Project Manager,Synergis - Southern Company PMO,"Birmingham, AL"
7010,President/ Project Coordinator - Non-IT,Bay Area Divers,"Houston, TX"
7010,IT SDLC Project Transition Manager,Logica - Shell Downstream Supply,"Houston, TX"
7010,IT Project Manager,ROI Staffing – Shell Trading,"Houston, TX"
7010,IT Manager,Welmar International Inc,
7010,IT SDLC Project Manager,Modis Professionals – BP Gas & Power N. America,"Houston, TX"
7010,IT SDLC Project Manager,U.S. Air Force,"Pentagon, DC"
7011,IT Manager,Macys Inc,"Cincinnati, OH"
7011,IT Project Manager,Macys Inc,"Mason, OH"
7011,IT Project Manager,General Electric,"Cincinnati, OH"
7012,IT Project Management,Miller's Health Mart,"League City, TX"
7012,Clinical Informatics and Research IT Program Manager,University of Miami,"Miami, FL"
7012,IT Project Manager,University of Miami,"Miami, FL"
7012,IT Project Specialist,University of Miami,"Miami, FL"
7012,Chief Technology Officer,Fable Streams Entertainment,"Carmel, IN"
7012,Research Associate,University of Miami - Department of Psychology,"Coral Gables, FL"
7013,Software Development Manager,General Motors Company,"Austin, TX"
7013,IT Senior Project Manager/Software Development Manager,Ford Motor Company,"Dearborn, MI"
7013,IT Project Manager,IBM,"Dearborn, MI"
7014,"AVP, Infrastructure Service Delivery PMO",Moody's Corporation,"New York, NY"
7014,Senior IT Project Manager,Estee Lauder Companies,"Melville, NY"
7014,Senior IT Project Manager,DealerTrack Technologies,"Lake Success, NY"
7014,IT Project Manager,Li & Fung USA,"New York, NY"
7014,IT Project Manager,"Deutsche Bank, Corporate Security & Business Continuity","New York, NY"
7014,IT Project Manager,Capital One Bank,"Melville, NY"
7014,IT Project Manager,Bank of America,"New York, NY"
7015,IT PROGRAM MANAGER,State of Michigan,"West Bloomfield Township, MI"
7015,IT PROJECT MANAGER,Chrysler Corporation FCA,
7015,IT PROJECT MANAGER,BANK OF AMERICA,
7015,IT Program Manager,AT&T,
7015,Program/ Project Manager,Ford Motor Company,
7015,Program/ Project Manager,General Motors Corporation,
7016,Program Manager,WLR - CO,CO
7016,Senior Project Manager,"Professional Advantages, CO",CO
7016,IT Project Manager,"Smart IT - Indianapolis, IN","Indianapolis, IN"
7016,IT Program / Project Manager,"IBM - Dubuque, IA","Dubuque, IA"
7016,IT Project Manager,"PAE Consulting Services - Northbrook, IL","Northbrook, IL"
7017,IT Senior Program Manager,Washington Suburban Sanitary Commission (WSSC),"Bethesda, MD"
7017,IT Program Manager,DC Water,"Washington, DC"
7017,IT Project Manager,Volvo IT,"Hagerstown, MD"
7017,Project Manager,AF Engineering,"Stockholm, SE"
7017,Project Manager,ABB Automotive Industries,
7018,Dy Manager ( IT),UTIITSL,"San Diego, CA"
7018,Project Associate ( IT),UTIITSL,"San Diego, CA"
7018,Intern,Hewlett-Packard,"San Diego, CA"
7018,Intern,Indian Railways,"San Diego, CA"
7019,Project Manager/Consultant,Takeda Pharmaceuticals,"Deerfield, IL"
7019,"Project Manager, IT","TAP Pharmaceutical Products, Inc.","Lake Forest, IL"
7020,Compliance Specialist/Learning Project Manager,CSG International,"Greenwood Village, CO"
7020,IT Project Manager,Defense IT Solutions Inc,"Greenwood Village, CO"
7020,IT Project Manager,United Airlines,"Denver, CO"
7020,IT Project Manager,Defensa Tecnologica S.A,"Guatemala City, GT"
7020,Project Coordinator,Grupo Cayala,"Guatemala City, GT"
7020,Project Coordinator,Arte Inmobiliario,"Guatemala City, GT"
7021,IT Project Manager,AXXESS,"Dallas, TX"
7021,Project Manager,"VIZIENT, INC","Roseville, CA"
7021,Project Coordinator,KAISER PERMANENTE,"Oakland, CA"
7021,Project Coordinator,AVIVIA HEALTH,"Oakland, CA"
7022,Program Manager/Sr. Project Manager,Baylor College of Medicine,Baylor College of Medicine
7022,Sr. IT Project Manager,Team Industrial Services,Team Industrial Services
7022,Sr. IT Project Manager,Stache & Associates,Stache & Associates
7022,Sr. IT Project Manager,Halliburton,Halliburton
7022,IT Project Manager,Grocers Supply,Grocers Supply
7022,Project Manager,Waste Management Inc,Waste Management Inc
7022,"Project Manager, IT Manager",SYBOR TECHNOLOGIES INC,SYBOR TECHNOLOGIES INC
7023,Project Manager,DAVILA General Contracting,"Chicago, IL"
7023,IT Technology Coordinator,Chicago Youth Programs,Chicago
7024,IT Project Manager,Focus Services,"Roy, UT"
7025,Senior Program Manager,Dish Network,"Denver, CO"
7025,IT Project Manager,Accenture LLC,"Denver, CO"
7025,IT Project Consultant,Accenture LLC,"Denver, CO"
7026,IT Quality Project Manager,Verizon,"Piscataway, NJ"
7026,IT Operations Project Manager,Verizon,"Basking Ridge, NJ"
7026,IT Business Analyst/ Project Manager,Verizon,"Morristown, NJ"
7026,TeleSales Manager,Verizon,"Branchburg, NJ"
7027,IT Operations Manager,NORTHROP GRUMMAN CORPORATION,"Houston, TX"
7027,Project Manager,Houston Emergency Center,
7028,IT Program Manager III - PMO Office,Blackhawk Networks,"Pleasanton, CA"
7028,IT Project Manager - PMO Office,VMware,"Los Gatos, CA"
7028,IT Project Manager - PMO Office,Western Digital Corporation,"San Jose, CA"
7028,IT Project Manager - PMO Office,National Mortgage Insurance,"Emeryville, CA"
7028,IT Project Manager - PMO Office,Roche Pharmaceuticals,"Pleasanton, CA"
7028,IT Project Manager - PMO Office,EBay Inc,"San Jose, CA"
7028,IT Project Manager,Wells Fargo Bank,"Pleasanton, CA"
7028,IT Project Manager,CA Technologies,"San Jose, CA"
7028,IT Project Manager,JP Morgan Chase,"Pleasanton, CA"
7028,IT Project Manager,Kaiser Permanente,"Pleasanton, CA"
7028,IT Project Manager,Walmart,"San Mateo, CA"
7028,IT Project Manager,Federal Home Loan Bank,"San Francisco, CA"
7028,IT Project Manager,Wells Fargo Bank,"Concord, CA"
7028,IT Project Manager,Wachovia Bank,"Oakland, CA"
7028,IT Project Manager,Washington Mutual Bank,"Pleasanton, CA"
7028,Custom Home Developer,DKS Development,"Pleasanton, CA"
7028,Project Manager,Wells Fargo Bank,"Walnut Creek, CA"
7029,IT Application Support Technician,Whitesky Communications,"Tuscaloosa, AL"
7029,Leasing Consultant,Woodlands of Tuscaloosa,"Tuscaloosa, AL"
7029,Project Manager,UA MIS,"Tuscaloosa, AL"
7029,IT Assistant,Stillman College,"Tuscaloosa, AL"
7030,IT Project Manager,AT&T,"Hendersonville, TN"
7030,Systems Manager,AT&T,"Nashville, TN"
7031,IT Program Manager III - PMO Office,Blackhawk Networks,"Pleasanton, CA"
7031,IT Project Manager - PMO Office,VMware,"Los Gatos, CA"
7031,IT Project Manager - PMO Office,Western Digital Corporation,"San Jose, CA"
7031,IT Project Manager - PMO Office,National Mortgage Insurance,"Emeryville, CA"
7031,IT Project Manager - PMO Office,Roche Pharmaceuticals,"Pleasanton, CA"
7031,IT Project Manager - PMO Office,EBay Inc,"San Jose, CA"
7031,IT Project Manager,Wells Fargo Bank,"Pleasanton, CA"
7031,IT Project Manager,CA Technologies,"San Jose, CA"
7031,IT Project Manager,JP Morgan Chase,"Pleasanton, CA"
7031,IT Project Manager,Kaiser Permanente,"Pleasanton, CA"
